Date,Delta_T,moon_deldot,sun_deldot,zero
1973-05-08,-3.395,0.052075,0.3980768,0
1973-05-09,-3.545,0.0557372,0.3926372,0
1973-05-10,-3.6799,0.0557255,0.3876623,0
1973-05-11,-3.732,0.0530141,0.3831062,0
1973-05-12,-3.717,0.0485824,0.3789056,0
1973-05-13,-3.6039,0.0432408,0.3749874,0
1973-05-14,-3.442,0.0375361,0.3712744,0
1973-05-15,-3.245,0.0317234,0.3676878,0
1973-05-16,-3.0259,0.0257943,0.3641492,0
1973-05-17,-2.83,0.019544,0.360582,0
1973-05-18,-2.66,0.0126629,0.356913,0
1973-05-19,-2.5509,0.0048389,0.3530734,0
1973-05-20,-2.504,-0.004146,0.3489995,0
1973-05-21,-2.515,-0.0143328,0.3446327,0
1973-05-22,-2.601,-0.0255259,0.3399185,0
